"county","state","voteshare","year","dem1912_3party","note","incparty","incumbency","attacks","electionyearattacks","coastal"
"CHEROKEE","AL",0.831762552261353,1952,NA,".",1,0,0,0,0
"CHEROKEE","AL",0.75900000333786,1956,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.780799984931946,1960,NA,".",-1,0,0,0,0
"CHEROKEE","AL",0,1964,NA,".",1,1,0,0,0
"CHEROKEE","AL",0.573899984359741,1968,NA,".",1,0,0,0,0
"CHEROKEE","AL",0.270999997854233,1972,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.757799983024597,1976,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.60259997844696,1980,NA,".",1,1,0,0,0
"CHEROKEE","AL",0.48429998755455,1984,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.525499999523163,1988,NA,".",-1,0,0,0,0
"CHEROKEE","AL",0.606000006198883,1992,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.590699970722198,1996,NA,".",1,1,0,0,0
"CHEROKEE","AL",0.457100003957748,2000,NA,".",1,0,0,0,0
"CHEROKEE","AL",0.339199990034103,2004,NA,".",-1,-1,0,0,0
"CHEROKEE","AL",0.240099996328354,2008,NA,".",-1,0,0,0,0
"CHEROKEE","AL",0.221194878220558,2012,NA,".",1,1,0,0,0
"CHILTON","AL",0.828000009059906,1876,NA,".",-1,0,0,0,0
"CHILTON","AL",0.845000028610229,1880,NA,".",-1,0,0,0,0
